trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-0.774378,0.648700,2.557266,0.511453,0.190702,1.000000,1.818557,0.777833,0.098400,0.083396,0.123835,0.011860,0.050884,0.035317,0.065674,0.123939,0.087889,0.025000,-0.056734,-0.008799
2,-2.732749,2.188878,0.794852,0.158970,0.311678,1.000000,1.480663,0.631212,0.109066,0.091309,0.092805,0.045000,0.026000,0.025021,0.062658,0.115822,0.098239,0.025000,-0.053457,-0.017592
3,-10.000000,,-1.291022,-0.258204,0.192716,1.000000,2.500000,0.579906,0.098400,0.075000,0.096504,0.025269,0.046587,0.030559,0.073856,0.146400,0.112962,0.018928,-0.056078,-0.026203
4,-1.753294,1.765189,1.413320,0.282664,0.064718,1.000000,2.348152,0.200000,0.135646,0.115000,0.085964,0.012968,0.035454,0.048472,0.071002,0.113633,0.103163,0.006243,-0.053938,-0.025844
5,-2.181863,1.788520,1.227555,0.245511,0.258049,1.000000,1.662832,0.763720,0.131080,0.088613,0.119448,0.028951,0.065875,0.027949,0.095000,0.097600,0.090740,-0.004604,-0.080000,0.000451
6,-10.000000,,-0.798596,-0.159719,0.365959,1.000000,1.200000,0.785450,0.147031,0.091373,0.117144,0.005000,0.062912,0.015000,0.095000,0.146400,0.096883,-0.008459,-0.065110,-0.019236
7,-0.370077,0.550728,2.585911,0.517182,0.038970,1.000000,2.500000,0.347700,0.141453,0.103774,0.098269,0.045000,0.051655,0.035148,0.055000,0.097600,0.096593,0.025000,-0.070375,-0.022269
8,-6.315641,6.049220,0.510056,0.102011,0.158714,1.000000,2.427563,0.800000,0.146365,0.114189,0.112532,0.028723,0.054384,0.033887,0.090696,0.117328,0.112521,-0.004088,-0.080000,-0.015988
9,-10.000000,69.445720,0.004829,0.000966,3.136991,0.000000,1.453940,0.693284,0.142337,0.095087,0.083200,0.045000,0.026000,0.033554,0.091349,0.110898,0.096862,0.024759,-0.040000,-0.001665
10,-1.027131,1.046802,2.440256,0.488051,0.112177,1.000000,1.951222,0.413433,0.147600,0.099859,0.124800,0.005000,0.053781,0.055000,0.078000,0.146400,0.115000,0.005084,-0.080000,-0.022999
