trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-4.788315,4.682079,0.343686,0.068737,0.070302,1.000000,1.426300,0.200000,0.098400,0.104955,0.111599,0.027512,0.039869,0.026354,0.082392,0.127589,0.094811,0.002306,-0.075590,-0.023667
2,-10.000000,,-1.502607,-0.300521,0.208941,1.000000,2.075795,0.567414,0.124771,0.115000,0.110290,0.005000,0.034959,0.055000,0.064145,0.097600,0.115000,0.025000,-0.052437,-0.000394
3,-10.000000,,-0.338298,-0.067660,0.332589,1.000000,1.531650,0.800000,0.098400,0.075000,0.124800,0.034873,0.049376,0.043257,0.067475,0.120042,0.075000,0.025000,-0.040000,-0.019884
4,-0.949558,0.926254,1.796454,0.359291,0.101475,1.000000,1.583844,0.354509,0.098400,0.114274,0.094905,0.042178,0.050739,0.034665,0.078202,0.118534,0.112913,-0.011248,-0.069172,-0.035000
5,-1.946908,1.879030,1.127173,0.225435,0.090298,1.000000,2.500000,0.295583,0.131321,0.079993,0.104252,0.034756,0.065979,0.015000,0.057323,0.124343,0.075000,-0.015000,-0.071048,-0.027132
6,-1.167135,1.148358,1.338952,0.267790,0.076336,1.000000,1.819136,0.200000,0.141449,0.115000,0.088361,0.009883,0.047865,0.015000,0.063763,0.143452,0.075000,0.021174,-0.080000,-0.017863
7,-0.689023,0.547197,1.800372,0.360074,0.160932,1.000000,1.200000,0.669721,0.121211,0.097052,0.124800,0.005000,0.027700,0.028263,0.094010,0.097600,0.110931,0.000474,-0.040878,-0.021597
8,-10.000000,,-0.419546,-0.083909,0.248681,1.000000,1.665243,0.800000,0.144364,0.075000,0.101790,0.025835,0.061759,0.055000,0.076189,0.142844,0.075000,-0.015000,-0.076309,-0.018735
9,-5.186040,4.923592,0.508409,0.101682,0.156644,1.000000,2.075144,0.800000,0.147600,0.100549,0.111580,0.045000,0.034574,0.015000,0.095000,0.123865,0.104130,-0.015000,-0.080000,-0.024449
10,-0.483928,0.557820,1.771006,0.354201,0.051604,1.000000,1.537966,0.489577,0.111668,0.095166,0.105899,0.044187,0.034722,0.025428,0.089216,0.129110,0.075000,-0.015000,-0.080000,-0.015265
11,-0.453667,0.484759,2.201564,0.440313,0.094532,1.000000,1.404943,0.654850,0.110189,0.115000,0.114300,0.029170,0.062809,0.040369,0.060831,0.097600,0.086304,-0.010368,-0.080000,-0.030897
12,-0.043376,0.353941,4.403873,0.880775,0.064911,1.000000,2.231315,0.529611,0.145416,0.115000,0.083200,0.018775,0.047474,0.025436,0.080794,0.105673,0.098585,-0.008258,-0.071543,-0.035000
13,-0.960994,0.863365,2.286682,0.457336,0.163149,1.000000,2.299776,0.551869,0.114511,0.075000,0.117419,0.029821,0.054703,0.017724,0.062578,0.098174,0.075000,0.025000,-0.040000,-0.007185
14,-10.000000,,-0.267720,-0.053544,0.057271,1.000000,1.584490,0.246156,0.108167,0.075000,0.090883,0.005000,0.031416,0.039429,0.094595,0.126690,0.075425,-0.015000,-0.080000,0.005000
15,-2.640452,2.419979,0.674848,0.134970,0.143979,1.000000,1.200000,0.200000,0.120204,0.115000,0.089981,0.005000,0.039631,0.015000,0.055000,0.112539,0.115000,0.020980,-0.077560,-0.027190
16,0.002798,0.338394,4.446998,0.889400,0.051754,1.000000,2.500000,0.549769,0.110025,0.112699,0.110055,0.028677,0.026000,0.015398,0.059278,0.138482,0.107238,0.017419,-0.061179,-0.003741
