phase,trial,cot,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,1,0.633509,1.950000,0.500000,0.140000,0.080000,0.100000,0.040000,0.050000,0.050000,0.060000,0.140000,0.080000,0.020000,-0.050000,0.000000
1,2,0.771543,1.950000,0.500000,0.152455,0.070503,0.108391,0.042906,0.048375,0.037999,0.058777,0.133016,0.069286,0.024527,-0.063308,0.006660
1,3,0.615983,1.950000,0.500000,0.158419,0.065023,0.114766,0.043524,0.053350,0.035212,0.045692,0.141041,0.076996,0.006400,-0.035787,-0.008017
1,4,10.000000,1.950000,0.500000,0.122805,0.083552,0.096474,0.054497,0.049003,0.060798,0.065409,0.137921,0.065398,0.033266,-0.048101,-0.003438
1,5,10.000000,1.950000,0.500000,0.119671,0.071927,0.092231,0.045498,0.053300,0.059996,0.050201,0.135425,0.070467,0.027661,-0.052245,-0.008762
1,6,0.842905,1.950000,0.500000,0.142843,0.065939,0.110269,0.038493,0.046855,0.062800,0.066818,0.132715,0.082113,0.020625,-0.036165,0.010336
1,7,1.377951,1.950000,0.500000,0.150387,0.081191,0.102603,0.053958,0.053211,0.043280,0.053888,0.125941,0.065469,0.017702,-0.053154,-0.006195
1,8,22.915989,1.950000,0.500000,0.119591,0.070965,0.106340,0.048705,0.053179,0.062789,0.064532,0.157428,0.090501,0.018484,-0.062138,-0.003875
1,9,0.502405,1.950000,0.500000,0.147091,0.084978,0.102739,0.033242,0.051837,0.046488,0.074151,0.154654,0.086652,0.012080,-0.057318,-0.013787
1,10,0.618947,1.950000,0.500000,0.148848,0.068327,0.098180,0.031052,0.061873,0.049261,0.061898,0.148212,0.069180,0.023133,-0.048805,-0.008908
1,11,2.601764,1.950000,0.500000,0.158600,0.082966,0.105844,0.051414,0.053731,0.043869,0.048165,0.138174,0.071553,0.017495,-0.038502,-0.005270
1,12,0.669145,1.950000,0.500000,0.124128,0.075689,0.112205,0.033164,0.054431,0.035016,0.055577,0.131801,0.069940,0.021023,-0.050455,0.005773
1,13,0.793533,1.950000,0.500000,0.130315,0.072324,0.090049,0.031563,0.051743,0.047115,0.046947,0.129664,0.072406,0.025889,-0.043632,-0.010557
1,14,0.589679,1.950000,0.500000,0.160905,0.073003,0.114298,0.037331,0.035992,0.045352,0.064031,0.147590,0.080928,0.018433,-0.048413,0.002781
1,15,0.923441,1.950000,0.500000,0.122396,0.076090,0.092265,0.049094,0.049109,0.064503,0.056965,0.153290,0.088950,0.009522,-0.049754,0.005874
1,16,3.570644,1.950000,0.500000,0.155051,0.074779,0.091607,0.046334,0.059285,0.045460,0.047885,0.158502,0.076927,0.020533,-0.039869,0.005271
1,17,0.613166,1.950000,0.500000,0.121643,0.077230,0.090980,0.045226,0.049281,0.063904,0.057123,0.149510,0.090623,0.006662,-0.048265,0.004631
