phase,trial,cot,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,39,10.000000,1.950000,0.500000,0.081595,0.124927,0.120486,-0.009318,0.061498,0.049385,0.084017,0.118392,0.030586,-0.001622,-0.027225,-0.007368
1,40,10.000000,1.950000,0.500000,0.164366,0.054499,0.101690,0.056322,0.069544,0.028461,0.053774,0.146801,0.128095,0.008668,-0.062012,-0.032247
1,41,10.000000,1.950000,0.500000,0.165673,0.073359,0.127853,0.069264,0.046219,0.039794,0.092346,0.120236,0.033690,0.018333,-0.094134,-0.044570
1,42,10.000000,1.950000,0.500000,0.122439,0.068881,0.053017,0.060955,0.060161,0.081447,0.016381,0.073079,0.045911,0.056918,-0.098350,-0.035185
1,43,10.000000,1.950000,0.500000,0.168959,0.100619,0.081673,0.008461,0.046150,0.043289,0.011842,0.191990,0.031371,-0.011132,-0.088177,-0.024347
1,44,10.000000,1.950000,0.500000,0.181509,0.048404,0.127876,0.072760,0.020104,0.010004,0.057928,0.114279,0.044229,0.023875,-0.094360,0.022201
1,45,10.000000,1.950000,0.500000,0.151667,0.046549,0.141551,0.019907,0.018343,0.027289,0.077092,0.091916,0.109020,-0.002871,-0.090814,-0.042317
1,46,10.000000,1.950000,0.500000,0.174771,0.122303,0.118606,0.044432,0.045351,0.009241,0.074615,0.180542,0.091853,-0.020225,-0.092557,0.022016
1,47,10.000000,1.950000,0.500000,0.148039,0.082404,0.068443,0.019802,0.092876,0.094004,0.068840,0.104246,0.100860,0.038374,-0.083289,0.031617
1,48,10.000000,1.950000,0.500000,0.199201,0.096448,0.072223,0.053372,0.062398,0.047689,0.099998,0.089569,0.071039,0.014450,-0.039129,0.038873
1,49,10.000000,1.950000,0.500000,0.179897,0.068039,0.061427,0.016191,0.016717,0.056825,0.106872,0.198424,0.043545,-0.009099,-0.048928,0.033538
1,50,10.000000,1.950000,0.500000,0.181815,0.117493,0.083723,0.069120,0.055203,0.059587,0.039005,0.081606,0.054773,0.059336,-0.003569,0.008353
2,51,10.000000,1.950000,0.500000,0.181516,0.048343,0.127969,0.049685,0.044583,0.009997,0.055925,0.116719,0.044287,0.035089,-0.094359,0.022200
2,52,10.000000,2.533345,0.310061,0.179157,0.089685,0.094583,-0.000003,0.045925,0.033371,0.024287,0.161124,0.035641,0.042200,-0.006145,-0.049922
2,53,10.000000,2.910007,0.570489,0.155631,0.030707,0.052306,0.042477,0.039986,0.004667,0.107376,0.102588,0.039061,0.031839,-0.061754,0.048323
2,54,10.000000,1.898519,0.715964,0.165243,0.075050,0.051326,0.084220,0.056329,0.038542,0.011597,0.102325,0.054103,0.038326,-0.039000,0.033319
2,55,10.000000,1.333727,0.434636,0.095513,0.105536,0.092516,0.010794,0.056770,0.003131,0.094228,0.132966,0.069515,0.062666,-0.027273,-0.017346
2,56,10.000000,2.098105,0.512501,0.204564,0.114453,0.124732,0.043969,0.058675,0.096526,0.070703,0.108640,0.059627,-0.013473,-0.098436,-0.007660
2,57,10.000000,1.760147,0.376093,0.071971,0.049884,0.121134,0.069018,0.060596,0.092630,0.075108,0.198094,0.115004,0.014945,-0.090459,-0.012918
2,58,10.000000,2.287519,0.599553,0.152782,0.057472,0.106124,0.028293,0.097171,0.084891,0.082173,0.103038,0.055607,-0.025957,-0.028934,-0.038911
2,59,10.000000,1.845723,0.321032,0.195407,0.077537,0.106328,0.059552,0.013933,0.060442,0.063984,0.098429,0.124285,0.029887,-0.030522,0.038047
2,60,10.000000,2.201882,0.377380,0.084769,0.075653,0.071844,0.031651,0.088328,0.032435,0.022209,0.119882,0.120683,-0.002787,-0.035231,-0.049948
2,61,10.000000,1.678695,0.382869,0.093052,0.083409,0.098483,0.059244,0.026941,0.024413,0.026829,0.100627,0.085810,0.010384,-0.093511,-0.024608
2,62,10.000000,1.865628,0.224831,0.172409,0.058114,0.050935,-0.009753,0.099645,0.097438,0.024730,0.207178,0.121135,0.061799,-0.096227,-0.048350
2,63,10.000000,2.637286,0.793912,0.087782,0.047960,0.141484,0.085263,0.030879,0.077545,0.103855,0.208807,0.111549,0.068608,-0.007442,-0.035937
2,64,10.000000,2.925000,0.200000,0.070000,0.130000,0.150000,-0.010000,0.000000,0.000000,0.010000,0.210000,0.130000,-0.030000,0.000000,0.050000
2,65,10.000000,1.000000,0.800000,0.070000,0.130000,0.150000,-0.010000,0.100000,0.100000,0.010000,0.210000,0.030000,0.070000,-0.100000,0.050000
2,66,10.000000,1.083582,0.387215,0.193260,0.129293,0.086226,0.045743,0.006249,0.083678,0.106564,0.116164,0.038777,-0.026202,-0.002020,0.043169
2,67,10.000000,1.324127,0.209213,0.209903,0.031884,0.109732,0.000836,0.092032,0.003506,0.107816,0.166664,0.109464,-0.020496,-0.006461,-0.041808
2,68,10.000000,1.559687,0.641546,0.102546,0.127103,0.063280,0.088060,0.011754,0.000127,0.101182,0.181138,0.123024,-0.029709,-0.085982,-0.030290
2,69,10.000000,2.889778,0.219269,0.075391,0.118421,0.127833,0.077183,0.087887,0.076454,0.106744,0.103809,0.054964,-0.012838,-0.098827,0.049379
