phase,trial,cot,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,1,10.000000,1.400000,0.270000,0.140000,0.080000,0.100000,0.020000,0.000000,0.000000,0.060000,0.120000,0.100000,0.020000,-0.000000,0.000000
1,2,10.000000,1.400000,0.270000,0.152455,0.070503,0.108391,0.022906,-0.001625,-0.012001,0.058777,0.114014,0.089286,0.024527,-0.013308,0.006660
1,3,10.000000,1.400000,0.270000,0.158419,0.065023,0.114766,0.023524,0.003350,-0.014788,0.045692,0.120892,0.096996,0.006400,0.014213,-0.008017
1,4,8.313406,1.400000,0.270000,0.122805,0.083552,0.096474,0.034497,-0.000997,0.010798,0.065409,0.118218,0.085398,0.033266,0.001899,-0.003438
1,5,10.000000,1.400000,0.270000,0.119671,0.071927,0.092231,0.025498,0.003300,0.009996,0.050201,0.116078,0.090467,0.027661,-0.002245,-0.008762
1,6,10.000000,1.400000,0.270000,0.142843,0.065939,0.110269,0.018493,-0.003145,0.012800,0.066818,0.113755,0.102113,0.020625,0.013835,0.010336
1,7,10.000000,1.400000,0.270000,0.150387,0.081191,0.102603,0.033958,0.003211,-0.006720,0.053888,0.107950,0.085469,0.017702,-0.003154,-0.006195
1,8,10.000000,1.400000,0.270000,0.119591,0.070965,0.106340,0.028705,0.003179,0.012789,0.064532,0.134939,0.110501,0.018484,-0.012138,-0.003875
1,9,10.000000,1.400000,0.270000,0.147091,0.084978,0.102739,0.013242,0.001837,-0.003512,0.074151,0.132561,0.106652,0.012080,-0.007318,-0.013787
1,10,10.000000,1.400000,0.270000,0.148848,0.068327,0.098180,0.011052,0.011873,-0.000739,0.061898,0.127039,0.089180,0.023133,0.001195,-0.008908
1,11,10.000000,1.400000,0.270000,0.158600,0.082966,0.105844,0.031414,0.003731,-0.006131,0.048165,0.118435,0.091553,0.017495,0.011498,-0.005270
1,12,10.000000,1.400000,0.270000,0.124128,0.075689,0.112205,0.013164,0.004431,-0.014984,0.055577,0.112972,0.089940,0.021023,-0.000455,0.005773
1,13,10.000000,1.400000,0.270000,0.130315,0.072324,0.090049,0.011563,0.001743,-0.002885,0.046947,0.111141,0.092406,0.025889,0.006368,-0.010557
1,14,10.000000,1.400000,0.270000,0.160905,0.073003,0.114298,0.017331,-0.014008,-0.004648,0.064031,0.126505,0.100928,0.018433,0.001587,0.002781
1,15,10.000000,1.400000,0.270000,0.122396,0.076090,0.092265,0.029094,-0.000891,0.014503,0.056965,0.131392,0.108950,0.009522,0.000246,0.005874
1,16,10.000000,1.400000,0.270000,0.155051,0.074779,0.091607,0.026334,0.009285,-0.004540,0.047885,0.135859,0.096927,0.020533,0.010131,0.005271
1,17,10.000000,1.400000,0.270000,0.122574,0.084993,0.094600,0.031817,-0.001194,0.009916,0.065652,0.117568,0.085416,0.033623,0.006021,-0.005387
1,18,2.849106,1.400000,0.270000,0.156387,0.081660,0.088462,0.016422,-0.000801,0.001650,0.059438,0.119283,0.105273,0.034996,-0.010817,0.014313
1,19,9.612720,1.400000,0.270000,0.129648,0.089565,0.085000,0.023052,0.009052,0.015000,0.048183,0.131510,0.115000,0.035000,-0.010233,0.015000
1,20,10.000000,1.400000,0.270000,0.161000,0.084085,0.085000,0.017048,-0.006198,0.006651,0.070649,0.115070,0.101426,0.035000,-0.002409,0.013289
1,21,10.000000,1.400000,0.270000,0.126242,0.093765,0.095063,0.006058,-0.005028,0.011347,0.058105,0.116656,0.104945,0.035000,-0.008118,0.011009
