trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-5.662257,3.653364,0.361260,0.072252,0.330443,1.000000,1.750000,0.400000,0.175649,0.129759,0.114848,-0.023883,0.082230,-0.020361,0.029802,0.113459,0.092618,0.061768,-0.066121,-0.024440
2,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.750000,0.400000,0.175174,0.113279,0.123098,-0.032766,0.085533,-0.017022,0.022349,0.108527,0.087620,0.057046,-0.070337,-0.038717
3,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.750000,0.400000,0.181985,0.113158,0.131073,-0.024922,0.078733,-0.012139,0.013361,0.107962,0.085070,0.063942,-0.071213,-0.031555
4,-9.490624,,-0.311870,-0.062374,0.313524,1.000000,1.750000,0.400000,0.164060,0.114259,0.119159,-0.015878,0.089793,-0.024047,0.018931,0.105881,0.092052,0.055212,-0.062516,-0.033828
5,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.750000,0.400000,0.179693,0.104120,0.118879,-0.014818,0.088771,-0.020328,0.028622,0.098219,0.095093,0.056884,-0.060748,-0.046600
6,-5.385682,2.524458,0.362283,0.072457,0.246033,1.000000,1.750000,0.400000,0.191676,0.109179,0.122224,-0.037382,0.073635,-0.014144,0.029064,0.116263,0.080061,0.053946,-0.070265,-0.032044
7,-5.213912,1.743856,0.646176,0.129235,0.293986,1.000000,1.750000,0.400000,0.176139,0.121515,0.118673,-0.029502,0.078141,-0.017464,0.018171,0.102986,0.087306,0.054392,-0.065230,-0.044357
8,-9.492362,,-1.180905,-0.236181,0.286185,1.000000,1.750000,0.400000,0.173692,0.113497,0.104536,-0.034152,0.080229,-0.013251,0.027625,0.105664,0.089094,0.059440,-0.061132,-0.027444
9,-10.000000,,-0.320556,-0.064111,1.518581,0.000000,1.750000,0.400000,0.160564,0.121119,0.112101,-0.025860,0.080929,-0.029095,0.016772,0.102772,0.086991,0.053002,-0.067951,-0.025130
10,-5.318824,2.167590,0.521887,0.104377,0.294454,1.000000,1.750000,0.400000,0.150613,0.129187,0.117889,-0.027952,0.089439,-0.028420,0.025503,0.107796,0.096897,0.049515,-0.069019,-0.039230
