trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-2.281803,0.290381,1.309612,0.261922,0.091257,1.000000,1.990000,0.200000,0.124314,0.087148,0.101621,-0.007806,0.077097,-0.022417,0.041419,0.112938,0.089280,0.030171,-0.056257,-0.011423
2,-2.165442,0.281556,1.893988,0.378798,0.090279,1.000000,1.990000,0.200000,0.144238,0.102965,0.094824,-0.007853,0.064200,-0.022106,0.040444,0.118508,0.091516,0.036833,-0.042531,-0.011912
3,-2.240302,0.256521,1.495510,0.299102,0.096004,1.000000,1.990000,0.200000,0.149446,0.101193,0.105007,-0.006441,0.061213,-0.007839,0.051837,0.118895,0.089483,0.025931,-0.041890,-0.011746
4,-4.304276,9.046808,0.088028,0.017606,0.150877,1.000000,1.990000,0.200000,0.146436,0.110990,0.088300,-0.010204,0.067063,-0.020430,0.036386,0.110425,0.086744,0.042450,-0.055134,-0.005199
5,-2.166320,0.209087,1.812247,0.362449,0.097540,1.000000,1.990000,0.200000,0.135988,0.097624,0.096194,-0.013233,0.051747,-0.024876,0.039006,0.109626,0.079728,0.036119,-0.046589,-0.025423
6,-2.168396,0.230788,1.813172,0.362634,0.088020,1.000000,1.990000,0.200000,0.148429,0.094677,0.107809,-0.008747,0.069101,-0.016052,0.036799,0.109058,0.087783,0.037014,-0.059293,-0.018795
7,-2.572048,1.138197,0.748898,0.149780,0.138156,1.000000,1.990000,0.200000,0.126616,0.103406,0.096245,-0.008589,0.062505,-0.032010,0.030225,0.119997,0.094492,0.037910,-0.057574,-0.018019
8,-2.142851,0.194464,1.929800,0.385960,0.105194,1.000000,1.990000,0.200000,0.136138,0.099696,0.100039,-0.018605,0.065476,-0.028155,0.048070,0.113349,0.093919,0.034749,-0.047662,-0.019961
9,-2.126763,0.239711,2.026183,0.405237,0.075995,1.000000,1.990000,0.200000,0.156741,0.107829,0.110073,-0.002261,0.060255,-0.016070,0.032394,0.120119,0.077008,0.038710,-0.041093,-0.022238
10,-2.170010,0.236688,1.806112,0.361222,0.089097,1.000000,1.990000,0.200000,0.153436,0.100400,0.088146,-0.008434,0.064251,-0.017873,0.044893,0.116085,0.082430,0.031226,-0.044259,-0.021501
11,-2.206968,0.283168,1.694513,0.338903,0.087476,1.000000,1.990000,0.200000,0.140227,0.099033,0.096342,-0.009161,0.068842,-0.038074,0.034084,0.128998,0.089463,0.036766,-0.049682,-0.002515
12,-2.219516,0.261869,1.584071,0.316814,0.082507,1.000000,1.990000,0.200000,0.139875,0.097589,0.097737,-0.008225,0.053001,-0.026940,0.036391,0.108055,0.091609,0.028557,-0.038262,-0.014066
13,-2.069522,0.202704,2.248233,0.449647,0.059042,1.000000,1.990000,0.200000,0.156494,0.114707,0.104778,-0.002236,0.077176,-0.029702,0.032278,0.105676,0.082971,0.034704,-0.036851,-0.026664
14,-2.078954,0.220608,2.271830,0.454366,0.098604,1.000000,1.990000,0.200000,0.148059,0.107084,0.103310,-0.012363,0.057936,-0.017376,0.034339,0.129906,0.084381,0.046038,-0.037064,-0.028710
15,-2.110469,0.187933,2.108487,0.421697,0.113291,1.000000,1.990000,0.200000,0.129025,0.110810,0.110320,-0.016117,0.059625,-0.023451,0.044658,0.106585,0.079648,0.045786,-0.043499,-0.019970
