trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-10.000000,,-0.930317,-0.186063,1.831716,0.000000,1.095421,0.779630,0.139436,0.087660,0.102071,0.008027,0.061482,-0.010392,0.053936,0.162020,0.095448,0.026232,-0.030732,0.003890
2,-10.000000,,-0.232393,-0.046479,2.580964,0.000000,1.049655,0.665272,0.133711,0.084566,0.107284,0.008807,0.049386,0.003196,0.065718,0.160949,0.100438,0.029460,-0.036088,-0.004239
3,-10.000000,,-0.710608,-0.142122,1.890006,0.000000,1.271365,0.674045,0.144880,0.085391,0.111949,0.010717,0.063046,0.002652,0.054319,0.146203,0.101335,0.035981,-0.036130,0.002598
4,-10.000000,,-0.127749,-0.025550,1.624407,0.000000,1.315432,0.627653,0.138624,0.081520,0.112084,0.017174,0.056074,-0.001092,0.057222,0.151761,0.113084,0.038669,-0.038390,0.003110
5,-9.493468,,-1.733857,-0.346771,0.262398,1.000000,1.359446,0.684527,0.149850,0.069594,0.103956,0.006294,0.065105,0.003886,0.055930,0.145558,0.092743,0.033176,-0.040676,-0.003562
6,-9.492795,,-1.397744,-0.279549,0.373537,1.000000,1.274731,0.702672,0.132285,0.080846,0.101722,0.027260,0.048994,-0.002975,0.053280,0.147126,0.106018,0.039403,-0.040640,0.006610
7,-10.000000,,-0.831343,-0.166269,1.013224,0.000000,1.158764,0.616373,0.132755,0.070530,0.113927,0.001224,0.064354,0.000902,0.070526,0.138954,0.110976,0.021239,-0.034247,-0.003297
8,-9.494247,,-2.123630,-0.424726,0.327562,1.000000,1.202138,0.694811,0.131140,0.078733,0.111693,0.017524,0.062150,-0.013923,0.061612,0.139659,0.106599,0.025526,-0.034749,0.002959
9,-10.000000,,-0.284070,-0.056814,1.382506,0.000000,1.097368,0.777132,0.147281,0.069779,0.101888,0.006140,0.048476,0.002408,0.073983,0.153986,0.105725,0.033409,-0.035123,-0.005230
10,-9.494827,,-2.413433,-0.482687,0.328519,1.000000,1.172122,0.755467,0.121874,0.072293,0.109941,0.013010,0.055329,-0.007002,0.063309,0.145829,0.098474,0.025004,-0.030363,-0.002412
11,-10.000000,,-0.683104,-0.136621,1.282323,0.000000,1.090763,0.799744,0.135055,0.074566,0.118013,0.013369,0.059912,-0.009078,0.064653,0.130087,0.091987,0.038979,-0.040251,0.008661
12,-10.000000,,-1.493970,-0.298794,1.167466,0.000000,1.543150,0.749988,0.122454,0.090812,0.107394,0.026162,0.053757,-0.001985,0.051151,0.141994,0.108479,0.039480,-0.037154,0.001822
13,-10.000000,,-1.335928,-0.267186,1.449502,0.000000,1.343910,0.736393,0.121135,0.079819,0.103477,0.010494,0.061537,-0.014525,0.049131,0.145588,0.098115,0.024791,-0.036117,-0.001919
