trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-3.169902,3.572763,0.257924,0.051585,0.159903,1.000000,1.990000,0.200000,0.130135,0.109938,0.097919,-0.002781,0.068581,-0.023531,0.048354,0.121827,0.088616,0.044337,-0.049205,-0.015233
2,-2.192962,0.246727,1.712857,0.342571,0.088362,1.000000,1.990000,0.200000,0.136280,0.102660,0.100827,-0.009979,0.047231,-0.030563,0.040413,0.121524,0.092649,0.023528,-0.046223,-0.019196
3,-2.229089,0.316717,1.598971,0.319794,0.080755,1.000000,1.990000,0.200000,0.134648,0.101618,0.095594,0.000006,0.057701,-0.019273,0.048752,0.121721,0.093043,0.031469,-0.045237,-0.012939
4,-2.217421,0.255290,1.609522,0.321904,0.093037,1.000000,1.990000,0.200000,0.129602,0.098878,0.091419,-0.010586,0.067827,-0.025499,0.036180,0.129533,0.092990,0.034545,-0.051399,-0.007636
5,-2.121272,0.211212,2.016942,0.403388,0.085262,1.000000,1.990000,0.200000,0.154525,0.104191,0.091224,-0.012395,0.069689,-0.022261,0.033661,0.110086,0.087347,0.034185,-0.046400,-0.020160
6,-2.112396,0.244011,2.093655,0.418731,0.072412,1.000000,1.990000,0.200000,0.165228,0.106973,0.102298,-0.004965,0.064401,-0.022544,0.043443,0.111966,0.090996,0.033017,-0.042003,-0.022178
7,-2.178398,0.212940,1.760959,0.352192,0.098341,1.000000,1.990000,0.200000,0.126173,0.107461,0.101788,-0.012639,0.051584,-0.028778,0.045089,0.117656,0.078448,0.030035,-0.041380,-0.012850
8,-2.254244,0.273261,1.426772,0.285354,0.086410,1.000000,1.990000,0.200000,0.131423,0.087019,0.094084,-0.006845,0.069595,-0.018407,0.036184,0.108458,0.087886,0.031752,-0.051546,-0.019703
9,-9.490399,,-0.199712,-0.039942,0.125532,1.000000,1.990000,0.200000,0.144545,0.113228,0.095017,0.006176,0.056843,-0.026637,0.031795,0.107939,0.090910,0.032217,-0.055314,-0.006745
10,-9.490330,,-0.165021,-0.033004,0.179112,1.000000,1.990000,0.200000,0.144908,0.095630,0.096975,-0.014005,0.048051,-0.025420,0.045980,0.114635,0.100005,0.045134,-0.041649,-0.019022
11,-3.032815,2.924161,0.306588,0.061318,0.137677,1.000000,1.990000,0.200000,0.141446,0.113864,0.097031,-0.003891,0.058824,-0.025535,0.041666,0.126040,0.090054,0.038199,-0.059552,-0.007537
12,-2.195972,0.213483,1.688488,0.337698,0.104247,1.000000,1.990000,0.200000,0.150593,0.095501,0.094235,-0.013471,0.060931,-0.023722,0.045780,0.123283,0.086538,0.030601,-0.048730,-0.015845
13,-2.132504,0.240973,1.975812,0.395162,0.076788,1.000000,1.990000,0.200000,0.149621,0.113411,0.089473,-0.009215,0.065533,-0.026112,0.031035,0.126498,0.091110,0.020949,-0.043389,-0.025591
