trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-10.000000,,-1.698257,-0.339651,0.282297,1.000000,1.259855,0.708122,0.138575,0.071389,0.101836,0.007571,0.057502,0.000325,0.055376,0.147811,0.097414,0.027513,-0.046229,-0.015798
2,-10.000000,,-2.442477,-0.488495,0.309170,1.000000,1.012679,0.582855,0.139650,0.070808,0.114113,0.012113,0.042122,0.000655,0.061567,0.151716,0.103785,0.013837,-0.049705,-0.007138
3,-10.000000,,-1.092499,-0.218500,1.180871,0.000000,1.369607,0.630965,0.130542,0.083063,0.108688,0.014911,0.054649,-0.003948,0.066809,0.144457,0.111308,0.031171,-0.041508,0.006560
4,-10.000000,,-1.413878,-0.282776,0.350863,1.000000,1.080049,0.740693,0.141264,0.074582,0.094989,0.019423,0.053742,-0.006604,0.058934,0.150181,0.107183,0.030157,-0.042500,-0.011064
5,-10.000000,,-2.657764,-0.531553,0.326462,1.000000,1.216442,0.710805,0.133933,0.077851,0.117253,0.020423,0.051961,-0.005739,0.065461,0.134997,0.095954,0.029374,-0.043418,-0.006797
6,-10.000000,,-0.364912,-0.072982,1.981659,0.000000,1.109083,0.663819,0.150164,0.078114,0.107845,0.003045,0.048327,-0.004764,0.064019,0.145446,0.104720,0.026953,-0.049887,-0.005439
7,-10.000000,,-1.467164,-0.293433,0.403020,1.000000,1.293731,0.700056,0.151777,0.077933,0.107357,0.027354,0.049433,0.001142,0.058448,0.147085,0.098158,0.030389,-0.047627,-0.002461
