trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-10.000000,,-1.415414,-0.283083,0.945999,0.000000,1.247811,0.752753,0.111576,0.079323,0.106773,0.017514,0.053674,-0.015695,0.068404,0.125093,0.116765,0.012452,-0.042843,0.006582
2,-10.000000,,-1.387963,-0.277593,1.045369,0.000000,1.247811,0.752753,0.109006,0.070328,0.110053,0.020104,0.054295,-0.017417,0.072803,0.121573,0.118729,0.010450,-0.038655,0.000501
3,-9.493630,,-1.815096,-0.363019,0.398759,1.000000,1.247811,0.752753,0.122889,0.067683,0.112273,0.024723,0.049325,-0.008283,0.074361,0.131331,0.117408,0.010850,-0.044777,0.000392
4,-9.490648,,-0.323888,-0.064778,0.483759,1.000000,1.247811,0.752753,0.118252,0.073250,0.112424,0.015739,0.048543,-0.013935,0.078271,0.118641,0.124176,0.012242,-0.035403,0.009502
5,-9.492863,,-1.431350,-0.286270,0.430068,1.000000,1.247811,0.752753,0.123254,0.073996,0.115383,0.018042,0.051179,-0.019296,0.077469,0.129071,0.116547,0.014743,-0.038568,0.001511
6,-9.495034,,-2.517161,-0.503432,0.385828,1.000000,1.247811,0.752753,0.118785,0.070885,0.120135,0.010437,0.047332,-0.011345,0.067531,0.114522,0.111375,0.013079,-0.039819,0.000027
7,-9.492670,,-1.335138,-0.267028,0.486320,1.000000,1.247811,0.752753,0.114824,0.071473,0.112442,0.016885,0.046845,-0.014864,0.071448,0.126610,0.110095,0.011232,-0.039801,0.002650
8,-9.999912,109.423948,0.008809,0.001762,1.003783,0.000000,1.247811,0.752753,0.119413,0.076259,0.104426,0.026447,0.047026,-0.022064,0.068319,0.128809,0.122560,0.014981,-0.041095,0.004883
9,-10.000000,,-0.748071,-0.149614,1.811068,0.000000,1.247811,0.752753,0.113458,0.080540,0.112112,0.020365,0.056358,-0.022910,0.069982,0.129908,0.112772,0.011912,-0.040069,-0.003324
10,-9.494913,,-2.456335,-0.491267,0.390177,1.000000,1.247811,0.752753,0.116145,0.068891,0.113475,0.017918,0.050760,-0.007320,0.060034,0.126313,0.110916,0.014030,-0.039274,0.001868
11,-9.494494,,-2.247050,-0.449410,0.394424,1.000000,1.247811,0.752753,0.127773,0.075154,0.107136,0.017011,0.048485,-0.015615,0.069842,0.138086,0.111871,0.010990,-0.043904,0.004853
12,-9.493085,,-1.542575,-0.308515,0.479367,1.000000,1.247811,0.752753,0.127998,0.072195,0.109879,0.018697,0.043386,-0.017622,0.073982,0.120291,0.108956,0.015157,-0.037792,0.004972
13,-9.495014,,-2.506831,-0.501366,0.394305,1.000000,1.247811,0.752753,0.120199,0.073467,0.126115,0.009985,0.048727,-0.015152,0.063590,0.127813,0.117692,0.010205,-0.046018,0.001678
14,-10.000000,,-1.191648,-0.238330,1.413202,0.000000,1.247811,0.752753,0.120381,0.074522,0.111312,0.017668,0.050043,-0.020295,0.079205,0.132299,0.116471,0.010306,-0.038169,0.006390
15,-9.492811,,-1.405261,-0.281052,0.432654,1.000000,1.247811,0.752753,0.114990,0.070805,0.109644,0.021731,0.049947,-0.010712,0.072509,0.129960,0.123649,0.012671,-0.036641,0.004453
16,-10.000000,,-1.036568,-0.207314,1.801347,0.000000,1.247811,0.752753,0.121966,0.062940,0.118452,0.016445,0.049476,-0.016161,0.071125,0.130716,0.117579,0.013022,-0.039622,0.001446
17,-9.493143,,-1.571306,-0.314261,0.400531,1.000000,1.247811,0.752753,0.118035,0.071612,0.126597,0.012208,0.046025,-0.008711,0.074644,0.114408,0.121715,0.010338,-0.039616,0.006581
18,-9.492519,,-1.259410,-0.251882,0.513060,1.000000,1.247811,0.752753,0.121365,0.070710,0.116264,0.019424,0.048340,-0.009331,0.069650,0.122961,0.117221,0.013241,-0.046244,0.007137
19,-9.491882,,-0.940763,-0.188153,0.439081,1.000000,1.247811,0.752753,0.113687,0.073354,0.112027,0.021557,0.051902,-0.011076,0.068578,0.126048,0.112778,0.014237,-0.037920,0.010309
20,-10.000000,,-0.912156,-0.182431,1.660087,0.000000,1.247811,0.752753,0.113777,0.073169,0.107014,0.016185,0.048868,-0.013140,0.078113,0.131464,0.115977,0.010262,-0.038171,-0.000490
21,-9.997978,2.635093,0.202203,0.040441,2.193081,0.000000,1.247811,0.752753,0.119924,0.077929,0.114446,0.021188,0.050047,-0.022050,0.081543,0.114493,0.119760,0.010368,-0.040169,0.004377
22,-10.000000,,-0.660630,-0.132126,2.057064,0.000000,1.247811,0.752753,0.109151,0.070880,0.107998,0.019493,0.049631,-0.011682,0.071269,0.120816,0.121722,0.011699,-0.047190,0.007959
23,-10.000000,,-0.580914,-0.116183,1.382173,0.000000,1.247811,0.752753,0.123875,0.070058,0.107431,0.028846,0.043216,-0.012713,0.064694,0.122667,0.119377,0.013985,-0.034281,0.005700
24,-9.494888,,-2.444247,-0.488849,0.391868,1.000000,1.247811,0.752753,0.113794,0.066047,0.113231,0.013666,0.054070,-0.007995,0.067893,0.120603,0.111168,0.010146,-0.042374,0.003208
25,-9.998127,2.732935,0.187262,0.037452,2.240985,0.000000,1.247811,0.752753,0.117738,0.069288,0.109243,0.020691,0.041883,-0.010543,0.070010,0.137025,0.114853,0.016705,-0.042002,0.013216
26,-9.492925,,-1.462486,-0.292497,0.417508,1.000000,1.247811,0.752753,0.120604,0.069086,0.103817,0.017638,0.050803,-0.004682,0.068334,0.122364,0.123125,0.017157,-0.043285,0.004764
27,-10.000000,,-0.735361,-0.147072,1.972221,0.000000,1.247811,0.752753,0.118004,0.068034,0.113369,0.023794,0.043984,-0.010790,0.066488,0.123353,0.120258,0.015720,-0.037037,0.010382
28,-9.491573,,-0.786267,-0.157253,0.587506,1.000000,1.247811,0.752753,0.109923,0.074005,0.115468,0.023721,0.052381,-0.010314,0.060821,0.128238,0.111624,0.011841,-0.046404,0.007690
29,-9.491478,,-0.738860,-0.147772,0.543680,1.000000,1.247811,0.752753,0.128695,0.072628,0.109415,0.021584,0.046452,-0.008456,0.069852,0.117329,0.116624,0.013989,-0.038010,0.010809
30,-9.491104,,-0.552098,-0.110420,0.515253,1.000000,1.247811,0.752753,0.110145,0.067443,0.127397,0.020396,0.054966,-0.013786,0.071777,0.130052,0.124779,0.013927,-0.035073,0.008508
31,-9.493014,,-1.506955,-0.301391,0.480626,1.000000,1.247811,0.752753,0.117744,0.072895,0.109263,0.019964,0.047585,-0.012583,0.070442,0.136875,0.109215,0.010868,-0.041427,0.004929
32,-9.492050,,-1.024845,-0.204969,0.432345,1.000000,1.247811,0.752753,0.115866,0.074166,0.120817,0.016315,0.041567,-0.017799,0.067727,0.129381,0.110121,0.010210,-0.034829,0.011972
33,-9.494501,,-2.250308,-0.450062,0.361865,1.000000,1.247811,0.752753,0.117180,0.072005,0.105437,0.010016,0.044802,-0.010660,0.067224,0.121643,0.115383,0.018899,-0.030679,0.003217
34,-10.000000,,-0.254895,-0.050979,2.497212,0.000000,1.247811,0.752753,0.101504,0.073761,0.118518,0.020990,0.057896,-0.016039,0.069690,0.122863,0.121804,0.025148,-0.037522,0.015468
35,-9.996096,1.571107,0.390446,0.078089,2.035600,0.000000,1.247811,0.752753,0.102033,0.070415,0.130369,0.023231,0.055294,-0.016587,0.068517,0.124032,0.115411,0.017780,-0.039123,0.005761
36,-10.000000,,-0.952120,-0.190424,1.680147,0.000000,1.247811,0.752753,0.124307,0.073448,0.121815,0.013668,0.053134,-0.009191,0.070699,0.134307,0.117614,0.010754,-0.042555,0.007302
37,-9.998815,4.190295,0.118547,0.023709,2.239029,0.000000,1.247811,0.752753,0.115618,0.063783,0.113700,0.017025,0.046083,-0.017886,0.070672,0.128242,0.124988,0.014812,-0.032826,0.008063
38,-10.000000,,-1.684090,-0.336818,0.547138,0.000000,1.247811,0.752753,0.110045,0.077850,0.107015,0.018051,0.048129,-0.009083,0.065542,0.122280,0.119047,0.010182,-0.037528,0.004022
39,-9.491849,,-0.924315,-0.184863,0.501183,1.000000,1.247811,0.752753,0.120523,0.071325,0.117627,0.022271,0.049662,-0.022374,0.070079,0.126448,0.117706,0.010188,-0.035226,0.007161
40,-10.000000,,-0.228332,-0.045666,2.473624,0.000000,1.247811,0.752753,0.110803,0.070059,0.130638,0.023893,0.054581,-0.011366,0.071767,0.115383,0.123396,0.013926,-0.038103,0.010316
41,-9.493292,,-1.645794,-0.329159,0.472353,1.000000,1.247811,0.752753,0.118491,0.074590,0.126232,0.014732,0.052768,-0.009219,0.060465,0.130279,0.122838,0.016741,-0.042709,0.009113
42,-10.000000,,-0.458829,-0.091766,2.672199,0.000000,1.247811,0.752753,0.112455,0.068735,0.127369,0.028894,0.046592,-0.014676,0.071036,0.122617,0.115408,0.016598,-0.044640,0.010057
43,-9.492514,,-1.257015,-0.251403,0.489760,1.000000,1.247811,0.752753,0.127658,0.069214,0.125498,0.019015,0.049499,-0.014702,0.067276,0.132770,0.117571,0.014637,-0.046684,0.011659
44,-10.000000,,-0.258390,-0.051678,2.393610,0.000000,1.247811,0.752753,0.116366,0.069491,0.130133,0.021350,0.060504,-0.010767,0.072794,0.128820,0.125134,0.010998,-0.038910,0.014740
45,-9.491760,,-0.879978,-0.175996,0.572464,1.000000,1.247811,0.752753,0.119420,0.066120,0.130746,0.019234,0.049805,-0.018511,0.070198,0.127385,0.122774,0.014493,-0.037424,0.004844
46,-10.000000,,-0.522900,-0.104580,2.678339,0.000000,1.247811,0.752753,0.111800,0.075000,0.129684,0.025650,0.048656,-0.023247,0.075651,0.124389,0.123250,0.015033,-0.036915,0.008823
47,-10.000000,,-0.921738,-0.184348,1.920109,0.000000,1.247811,0.752753,0.114793,0.070136,0.122164,0.022059,0.050266,-0.015130,0.076888,0.134993,0.122335,0.013299,-0.039778,0.002248
48,-9.492173,,-1.086720,-0.217344,0.482945,1.000000,1.247811,0.752753,0.127131,0.072034,0.124392,0.026572,0.051262,-0.016533,0.068975,0.123372,0.112351,0.016571,-0.041525,0.003473
49,-10.000000,,-0.532895,-0.106579,0.873064,0.000000,1.247811,0.752753,0.123457,0.072319,0.127490,0.024702,0.057130,-0.020013,0.060498,0.137350,0.116719,0.010602,-0.045445,0.007999
50,-9.491342,,-0.670775,-0.134155,0.460686,1.000000,1.247811,0.752753,0.126022,0.072766,0.112083,0.019647,0.050326,-0.020793,0.066909,0.115637,0.119702,0.015392,-0.040620,0.013042
51,-10.000000,,-0.411637,-0.082327,2.642754,0.000000,1.247811,0.752753,0.104355,0.067665,0.116742,0.019400,0.052348,-0.015644,0.077691,0.119837,0.126958,0.022411,-0.038473,0.011918
52,-10.000000,,-0.395932,-0.079186,2.250133,0.000000,1.247811,0.752753,0.109442,0.065724,0.120113,0.016565,0.051573,-0.011113,0.066865,0.123420,0.122602,0.014764,-0.035137,0.007445
53,-10.000000,,-0.238063,-0.047613,2.299480,0.000000,1.247811,0.752753,0.115786,0.070715,0.113200,0.019360,0.051032,-0.021281,0.076772,0.140128,0.115887,0.018711,-0.046604,0.010993
54,-9.492362,,-1.180788,-0.236158,0.520929,1.000000,1.247811,0.752753,0.120285,0.070413,0.123428,0.020116,0.052705,-0.019623,0.069762,0.133209,0.119994,0.014996,-0.035391,0.001516
55,-10.000000,,-0.413099,-0.082620,2.494598,0.000000,1.247811,0.752753,0.119882,0.075761,0.105692,0.029280,0.057938,-0.018412,0.073816,0.121619,0.121592,0.012177,-0.044099,0.007892
56,-10.000000,,-1.186074,-0.237215,1.731549,0.000000,1.247811,0.752753,0.116153,0.063047,0.124217,0.016556,0.051200,-0.019350,0.072144,0.128540,0.124010,0.022651,-0.037681,0.004340
57,-10.000000,,-0.851100,-0.170220,1.345196,0.000000,1.247811,0.752753,0.126651,0.079405,0.116494,0.022173,0.047745,-0.018157,0.061539,0.114658,0.113220,0.010859,-0.049178,0.007531
58,-10.000000,,-0.728749,-0.145750,1.893627,0.000000,1.247811,0.752753,0.124925,0.065342,0.109354,0.018250,0.054251,-0.012258,0.074893,0.124279,0.127125,0.014912,-0.035060,-0.000287
59,-9.998171,3.837340,0.182883,0.036577,1.784056,0.000000,1.247811,0.752753,0.124621,0.070475,0.113131,0.026509,0.058180,-0.016279,0.063232,0.131965,0.122823,0.012091,-0.037609,0.010247
60,-10.000000,,-0.477074,-0.095415,2.658114,0.000000,1.247811,0.752753,0.113966,0.078163,0.119329,0.026281,0.055759,-0.022002,0.069234,0.114666,0.127031,0.020974,-0.038160,0.005155
61,-10.000000,,-1.162606,-0.232521,1.748599,0.000000,1.247811,0.752753,0.121505,0.068247,0.132298,0.018572,0.058969,-0.020060,0.068425,0.114929,0.118952,0.012245,-0.040037,-0.002815
62,-9.492189,,-1.094393,-0.218879,0.471663,1.000000,1.247811,0.752753,0.127390,0.072004,0.123763,0.017237,0.049953,-0.023236,0.075115,0.135666,0.115876,0.015376,-0.038255,0.010570
63,-10.000000,,-0.142686,-0.028537,2.118854,0.000000,1.247811,0.752753,0.122935,0.071882,0.114904,0.023130,0.049490,-0.013626,0.066735,0.116489,0.126170,0.017133,-0.040394,0.008867
64,-10.000000,,-0.380473,-0.076095,2.470427,0.000000,1.247811,0.752753,0.114859,0.069076,0.125395,0.025353,0.049873,-0.019924,0.070915,0.134553,0.127119,0.010151,-0.032080,0.007420
65,-14.505220,26.555740,0.048104,0.009621,0.642772,1.000000,1.247811,0.752753,0.124660,0.071254,0.120007,0.028453,0.053357,-0.018381,0.065770,0.131806,0.114522,0.011542,-0.036538,0.014370
66,-9.998408,3.773217,0.159197,0.031839,2.192929,0.000000,1.247811,0.752753,0.126561,0.075106,0.127537,0.025342,0.045007,-0.023010,0.065778,0.117322,0.116902,0.024486,-0.041272,0.007116
