trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-10.000000,,-2.457202,-0.491440,0.313010,1.000000,1.247811,0.752753,0.126721,0.067098,0.117576,0.015023,0.050605,-0.003249,0.061701,0.143010,0.105947,0.030146,-0.047525,-0.003262
2,-10.000000,,-2.640911,-0.528182,0.301905,1.000000,1.192059,0.707121,0.151698,0.081238,0.103508,0.017666,0.054194,0.002517,0.065052,0.141881,0.091644,0.020894,-0.049347,-0.003005
3,-10.000000,,-1.792711,-0.358542,0.320367,1.000000,1.060627,0.623303,0.144657,0.082952,0.105743,0.014826,0.052494,-0.001684,0.063078,0.148582,0.099327,0.022009,-0.048792,0.001454
4,-10.000000,,-0.537775,-0.107555,2.191840,0.000000,0.814724,0.722145,0.151229,0.089517,0.117991,0.008589,0.035357,0.005601,0.062036,0.161137,0.105095,0.033716,-0.044506,-0.010074
5,-10.000000,,-0.478146,-0.095629,2.553589,0.000000,1.435423,0.735591,0.138117,0.077371,0.107578,0.020893,0.059736,0.003800,0.060672,0.147409,0.109535,0.023244,-0.045635,-0.001146
6,-10.000000,,-0.608451,-0.121690,2.409082,0.000000,1.444776,0.766702,0.152200,0.085750,0.099001,0.016406,0.036329,-0.000970,0.061408,0.150457,0.093958,0.016601,-0.048079,-0.000249
7,-10.000000,,-1.452047,-0.290409,0.302307,1.000000,1.180281,0.594577,0.149544,0.091583,0.101078,0.016224,0.052286,0.001783,0.070012,0.146641,0.104222,0.019872,-0.050327,-0.009318
8,-10.000000,,-1.632367,-0.326473,0.397923,1.000000,1.223190,0.737309,0.161100,0.083271,0.109294,0.016650,0.047925,0.013611,0.057723,0.148224,0.097741,0.024822,-0.044926,-0.001665
9,-10.000000,,-1.101895,-0.220379,1.370678,0.000000,0.828280,0.706901,0.145730,0.091228,0.113564,0.021192,0.044844,0.004168,0.068058,0.134610,0.097431,0.022581,-0.044226,-0.017068
10,-10.000000,,-0.125930,-0.025186,2.068452,0.000000,1.116757,0.610945,0.154320,0.096477,0.105163,0.011621,0.047079,0.004247,0.062535,0.151337,0.098286,0.026482,-0.042288,-0.011900
11,-10.000000,,-0.452464,-0.090493,2.252659,0.000000,0.806682,0.590829,0.163111,0.089465,0.101679,0.027240,0.051059,0.004965,0.059773,0.141704,0.100206,0.029171,-0.046901,0.001050
