trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-2.226384,0.351764,1.637596,0.327519,0.069207,1.000000,1.990000,0.200000,0.135301,0.107415,0.097824,0.009102,0.066914,-0.014639,0.037334,0.115115,0.072636,0.034642,-0.045996,-0.028883
2,-2.124716,0.202785,2.016762,0.403352,0.101040,1.000000,1.990000,0.200000,0.140744,0.105499,0.096686,-0.009606,0.065489,-0.008861,0.052458,0.115705,0.085731,0.039932,-0.048582,-0.022227
3,-2.156678,0.266285,1.927500,0.385500,0.090270,1.000000,1.990000,0.200000,0.141914,0.104854,0.099492,-0.005300,0.067490,-0.011268,0.034121,0.113943,0.083055,0.041388,-0.046973,-0.021653
4,-3.230791,3.822325,0.227748,0.045550,0.154633,1.000000,1.990000,0.200000,0.138952,0.101850,0.103164,-0.002842,0.068460,-0.018972,0.042353,0.118231,0.086143,0.041507,-0.053418,-0.019085
5,-2.196548,0.185638,1.670588,0.334118,0.115992,1.000000,1.990000,0.200000,0.156273,0.097413,0.104972,-0.023199,0.058909,-0.018374,0.030806,0.112299,0.075601,0.038669,-0.047150,-0.012665
6,-9.490263,,-0.131575,-0.026315,0.171384,1.000000,1.990000,0.200000,0.143817,0.098990,0.101941,0.001244,0.073645,-0.016908,0.026867,0.121347,0.092143,0.045663,-0.050358,-0.013218
7,-2.138172,0.265355,2.027227,0.405445,0.100540,1.000000,1.990000,0.200000,0.145571,0.107707,0.090364,-0.010785,0.059505,-0.015558,0.042904,0.116909,0.090668,0.041176,-0.048545,-0.019555
8,-9.490678,,-0.339148,-0.067830,0.159721,1.000000,1.990000,0.200000,0.144629,0.102306,0.092790,0.001244,0.058838,-0.027218,0.046503,0.116504,0.082031,0.041991,-0.065248,-0.014864
9,-2.260914,0.269727,1.385057,0.277011,0.086773,1.000000,1.990000,0.200000,0.137027,0.097325,0.090294,-0.007855,0.069355,-0.023247,0.041564,0.115540,0.091600,0.024027,-0.045673,-0.000798
10,-2.328717,0.384485,1.180779,0.236156,0.091476,1.000000,1.990000,0.200000,0.142521,0.090673,0.089694,0.001539,0.056232,-0.015330,0.050131,0.125906,0.085591,0.025858,-0.067453,-0.000625
11,-2.158300,0.203567,1.858660,0.371732,0.101756,1.000000,1.990000,0.200000,0.140424,0.102520,0.094260,-0.019151,0.057567,-0.029461,0.039981,0.121657,0.096715,0.027275,-0.049679,-0.015069
12,-2.910755,2.393426,0.368934,0.073787,0.151768,1.000000,1.990000,0.200000,0.131623,0.097623,0.100915,0.002785,0.061924,-0.009790,0.041682,0.113529,0.094452,0.037587,-0.037442,-0.026842
13,-2.207998,0.244245,1.636471,0.327294,0.092486,1.000000,1.990000,0.200000,0.134845,0.102357,0.088612,-0.009445,0.053885,-0.025630,0.046880,0.121989,0.086580,0.024223,-0.038708,-0.016043
14,-2.140699,0.180180,1.940514,0.388103,0.124774,1.000000,1.990000,0.200000,0.141379,0.103676,0.084405,-0.015795,0.061590,-0.005970,0.055428,0.117271,0.079045,0.043188,-0.046704,-0.016325
15,-9.490384,,-0.191762,-0.038352,0.161227,1.000000,1.990000,0.200000,0.139960,0.113731,0.102135,-0.005248,0.059106,-0.018305,0.036672,0.111428,0.093500,0.043053,-0.049109,-0.016804
16,-2.215966,0.242599,1.588149,0.317630,0.090878,1.000000,1.990000,0.200000,0.144738,0.102680,0.095864,-0.010050,0.064233,-0.009335,0.038320,0.109883,0.093361,0.028289,-0.052294,-0.018253
17,-2.145747,0.243197,1.939320,0.387864,0.078950,1.000000,1.990000,0.200000,0.143395,0.105776,0.098737,-0.003949,0.062048,-0.020899,0.041794,0.113936,0.084511,0.036839,-0.043052,-0.024317
18,-2.108624,0.227534,2.108925,0.421785,0.082208,1.000000,1.990000,0.200000,0.155424,0.107686,0.099838,-0.005883,0.064709,-0.014876,0.040513,0.126587,0.091613,0.037379,-0.050658,-0.022130
19,-2.086819,0.205792,2.199952,0.439990,0.091840,1.000000,1.990000,0.200000,0.146323,0.103014,0.101264,-0.011398,0.062013,-0.017353,0.033617,0.125013,0.087091,0.042536,-0.048285,-0.033734
20,-2.163018,0.209957,1.827243,0.365449,0.093293,1.000000,1.990000,0.200000,0.130238,0.102203,0.099454,-0.010826,0.069987,-0.014604,0.039080,0.116117,0.087172,0.037317,-0.068883,-0.023358
21,-5.171798,13.331676,0.065676,0.013135,0.171772,1.000000,1.990000,0.200000,0.136976,0.107008,0.100735,-0.011010,0.064186,-0.014764,0.047706,0.125988,0.091374,0.046167,-0.045807,-0.014607
22,-2.098713,0.240523,2.198414,0.439683,0.099105,1.000000,1.990000,0.200000,0.144510,0.110041,0.093086,-0.008990,0.060183,-0.009477,0.047976,0.126896,0.089969,0.043872,-0.049652,-0.029377
23,-2.215124,0.387601,1.799759,0.359952,0.113768,1.000000,1.990000,0.200000,0.152603,0.095925,0.095276,-0.006651,0.049731,-0.019524,0.037606,0.126016,0.083032,0.045966,-0.040826,-0.031929
24,-2.169892,0.277661,1.884903,0.376981,0.101513,1.000000,1.990000,0.200000,0.133789,0.101792,0.100134,-0.009431,0.050420,-0.007766,0.036737,0.119446,0.092206,0.041108,-0.050854,-0.025034
