trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-9.490114,,-0.056824,-0.011365,0.197733,1.000000,1.990000,0.200000,0.168093,0.119193,0.114955,-0.023667,0.072623,-0.023123,0.030593,0.118802,0.070818,0.051206,-0.064376,-0.026214
2,-2.712220,1.433444,0.401444,0.080289,0.171768,1.000000,1.990000,0.200000,0.164206,0.117542,0.114687,-0.027458,0.077690,-0.030426,0.023733,0.125713,0.077520,0.047460,-0.066093,-0.034790
3,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.990000,0.200000,0.165211,0.119489,0.112728,-0.026006,0.081934,-0.032578,0.037935,0.133965,0.084889,0.046820,-0.069662,-0.033240
4,-2.922324,2.313450,0.244873,0.048975,0.195143,1.000000,1.990000,0.200000,0.165205,0.113559,0.115734,-0.026780,0.081942,-0.029788,0.025221,0.126348,0.068620,0.052751,-0.067842,-0.027514
5,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.990000,0.200000,0.163428,0.118337,0.112267,-0.019295,0.080259,-0.028026,0.027345,0.126565,0.086049,0.051844,-0.065009,-0.033844
6,-3.160359,3.434262,0.162117,0.032423,0.163434,1.000000,1.990000,0.200000,0.157678,0.116547,0.116711,-0.027504,0.083384,-0.030712,0.023736,0.131112,0.080684,0.041876,-0.069034,-0.032437
7,-6.547937,20.220686,0.027350,0.005470,0.171729,1.000000,1.990000,0.200000,0.164241,0.115528,0.118034,-0.026480,0.081140,-0.030782,0.028834,0.125646,0.074670,0.042889,-0.067427,-0.034105
8,-9.490343,,-0.171257,-0.034251,0.169811,1.000000,1.990000,0.200000,0.167667,0.118467,0.114392,-0.021041,0.080926,-0.027494,0.027985,0.115782,0.077412,0.043215,-0.059151,-0.034558
9,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.990000,0.200000,0.164077,0.117881,0.114185,-0.016165,0.074600,-0.026196,0.035637,0.129696,0.076679,0.052589,-0.066756,-0.032255
10,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.990000,0.200000,0.168128,0.117118,0.114850,-0.024450,0.075293,-0.030243,0.021930,0.136378,0.078130,0.039736,-0.062434,-0.034226
11,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.990000,0.200000,0.167576,0.119739,0.117241,-0.019138,0.082350,-0.031845,0.021946,0.121698,0.077193,0.054708,-0.064879,-0.035100
12,-2.759526,1.595445,0.335772,0.067154,0.178872,1.000000,1.990000,0.200000,0.163494,0.117774,0.114583,-0.026523,0.078878,-0.027490,0.022643,0.117518,0.070336,0.050042,-0.069078,-0.034908
13,-3.527728,5.210053,0.100718,0.020144,0.154729,1.000000,1.990000,0.200000,0.160367,0.117280,0.107828,-0.027543,0.081938,-0.029017,0.024327,0.126206,0.081188,0.039966,-0.068315,-0.035092
14,-3.000225,2.672447,0.231638,0.046328,0.191641,1.000000,1.990000,0.200000,0.167385,0.113835,0.115591,-0.027274,0.076118,-0.027847,0.028460,0.131916,0.078143,0.049934,-0.069422,-0.028908
15,-9.490236,,-0.117876,-0.023575,0.165273,1.000000,1.990000,0.200000,0.167929,0.111025,0.117153,-0.026451,0.083427,-0.033070,0.028695,0.130871,0.084494,0.039091,-0.066993,-0.034634
16,-3.035717,2.838154,0.198900,0.039780,0.168235,1.000000,1.990000,0.200000,0.161616,0.116474,0.111220,-0.027041,0.082712,-0.024957,0.024113,0.126935,0.078977,0.044871,-0.069360,-0.032143
17,-2.703426,1.396789,0.416639,0.083328,0.178896,1.000000,1.990000,0.200000,0.160007,0.118823,0.118118,-0.027355,0.075775,-0.024700,0.022536,0.121048,0.073667,0.050356,-0.067045,-0.033510
18,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.990000,0.200000,0.166418,0.119893,0.118388,-0.024885,0.077716,-0.028586,0.025865,0.133400,0.070072,0.046457,-0.065462,-0.035100
19,-10.000000,,0.000000,0.000000,3.141593,0.000000,1.990000,0.200000,0.165045,0.110048,0.114797,-0.022940,0.078205,-0.029821,0.033084,0.122757,0.081236,0.054798,-0.058209,-0.033794
20,-3.118355,3.253465,0.178831,0.035766,0.188397,1.000000,1.990000,0.200000,0.168049,0.115999,0.112186,-0.023174,0.080715,-0.034713,0.021311,0.124096,0.077525,0.053916,-0.059917,-0.030017
