trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-10.000000,,-1.554867,-0.310973,0.931154,0.000000,1.247811,0.752753,0.122680,0.058611,0.116606,0.016802,0.057615,-0.006832,0.066708,0.145009,0.111619,0.034104,-0.044362,0.004828
2,-9.494778,,-2.389168,-0.477834,0.317118,1.000000,1.247811,0.752753,0.129393,0.066286,0.123471,0.014996,0.053547,-0.000100,0.056174,0.130541,0.101580,0.035080,-0.045637,0.000914
3,-10.000000,,-1.515460,-0.303092,0.619102,0.000000,1.247811,0.752753,0.123409,0.065414,0.108415,0.008554,0.046412,0.009095,0.047432,0.140899,0.123506,0.037954,-0.041072,0.007123
4,-9.495168,,-2.584021,-0.516804,0.369357,1.000000,1.247811,0.752753,0.115980,0.079199,0.115609,0.017299,0.053891,-0.014725,0.054034,0.152841,0.111204,0.020935,-0.037403,-0.009060
5,-9.494673,,-2.336668,-0.467334,0.336027,1.000000,1.247811,0.752753,0.133997,0.069833,0.111109,0.019034,0.054202,-0.001147,0.058511,0.136770,0.108568,0.039453,-0.042597,-0.010983
6,-10.000000,,-0.648037,-0.129607,2.344592,0.000000,1.247811,0.752753,0.133033,0.074799,0.120569,0.030941,0.067374,-0.003071,0.060038,0.141458,0.110939,0.031100,-0.049404,-0.011581
7,-9.493315,,-1.657537,-0.331507,0.441981,1.000000,1.247811,0.752753,0.134594,0.071928,0.115743,0.017944,0.046836,-0.012922,0.069135,0.139193,0.113439,0.024623,-0.051196,0.001797
8,-9.493609,,-1.804316,-0.360863,0.408649,1.000000,1.247811,0.752753,0.115201,0.067544,0.112297,0.021727,0.051412,0.008040,0.062583,0.136279,0.108442,0.034353,-0.047144,-0.005665
9,-9.495614,,-2.806775,-0.561355,0.352259,1.000000,1.247811,0.752753,0.102048,0.076488,0.134287,0.006281,0.048752,-0.002823,0.070551,0.151150,0.106395,0.034991,-0.055293,-0.004479
10,-9.495457,,-2.728308,-0.545662,0.320949,1.000000,1.247811,0.752753,0.134937,0.066596,0.114374,0.018234,0.050233,-0.000524,0.060406,0.146297,0.097856,0.021575,-0.039289,0.008592
11,-9.495514,,-2.757013,-0.551403,0.342814,1.000000,1.247811,0.752753,0.128804,0.060448,0.118009,0.016541,0.052557,-0.013478,0.056751,0.136791,0.099165,0.032693,-0.050352,-0.000092
12,-9.494045,,-2.022508,-0.404502,0.344218,1.000000,1.247811,0.752753,0.130974,0.070853,0.110435,0.021662,0.047239,-0.006796,0.071552,0.140302,0.105264,0.029235,-0.047179,-0.002122
13,-10.000000,,-0.388426,-0.077685,2.592012,0.000000,1.247811,0.752753,0.118663,0.075232,0.112305,0.011894,0.052230,-0.010020,0.069867,0.150532,0.115425,0.033308,-0.052115,0.004562
14,-10.000000,,-1.409690,-0.281938,1.290518,0.000000,1.247811,0.752753,0.139038,0.067698,0.113641,0.018338,0.052084,-0.015510,0.064187,0.147160,0.115527,0.043706,-0.043947,-0.009098
15,-10.000000,,-0.919072,-0.183814,1.583773,0.000000,1.247811,0.752753,0.120148,0.067961,0.112419,0.025288,0.052575,-0.009465,0.064889,0.135082,0.110955,0.032317,-0.049155,-0.003363
16,-10.000000,,-1.291914,-0.258383,1.571057,0.000000,1.247811,0.752753,0.124646,0.061802,0.106600,0.015114,0.046722,-0.010603,0.063978,0.127769,0.127049,0.037790,-0.039791,-0.001620
17,-10.000000,,-0.606454,-0.121291,2.256021,0.000000,1.247811,0.752753,0.125668,0.072717,0.123288,0.016637,0.045100,-0.004684,0.061140,0.144134,0.121991,0.026364,-0.051764,-0.001021
18,-10.000000,,-0.612856,-0.122571,2.357021,0.000000,1.247811,0.752753,0.137497,0.070445,0.120145,0.017552,0.050635,-0.010624,0.068176,0.142473,0.108461,0.028356,-0.052196,0.008949
19,-9.495463,,-2.731561,-0.546312,0.329089,1.000000,1.247811,0.752753,0.129057,0.067819,0.119802,0.014265,0.045980,-0.005938,0.060600,0.149074,0.105321,0.028591,-0.039981,-0.006351
20,-9.494153,,-2.076606,-0.415321,0.339082,1.000000,1.247811,0.752753,0.126895,0.071688,0.106698,0.021691,0.052958,0.002624,0.058012,0.137911,0.114838,0.022594,-0.045797,-0.000323
21,-10.000000,,-0.650581,-0.130116,2.360368,0.000000,1.247811,0.752753,0.141181,0.074746,0.113133,0.029373,0.051951,-0.008772,0.062191,0.135488,0.108078,0.034051,-0.051579,-0.009315
22,-9.494637,,-2.318656,-0.463731,0.334599,1.000000,1.247811,0.752753,0.116587,0.062829,0.108637,0.015286,0.044679,0.005016,0.065678,0.128646,0.115716,0.022485,-0.048606,-0.007496
23,-9.495491,,-2.745382,-0.549076,0.347174,1.000000,1.247811,0.752753,0.116989,0.067714,0.114231,0.018856,0.037756,0.000953,0.070446,0.138455,0.106880,0.022075,-0.046684,-0.005751
24,-9.494645,,-2.322726,-0.464545,0.346211,1.000000,1.247811,0.752753,0.130741,0.066168,0.114026,0.023325,0.047044,-0.000841,0.056737,0.136271,0.109408,0.020274,-0.041974,-0.002634
25,-10.000000,,-0.221811,-0.044362,2.411231,0.000000,1.247811,0.752753,0.120168,0.070223,0.104507,0.021968,0.046100,-0.002230,0.072081,0.147608,0.109416,0.031386,-0.048562,-0.002247
26,-9.493681,,-1.840493,-0.368099,0.374622,1.000000,1.247811,0.752753,0.131758,0.074513,0.097706,0.023254,0.052802,-0.008330,0.065917,0.144551,0.111787,0.020880,-0.048484,-0.001401
27,-9.495381,,-2.690735,-0.538147,0.351230,1.000000,1.247811,0.752753,0.126648,0.067433,0.112985,0.022072,0.051794,-0.001758,0.067962,0.138557,0.105637,0.018024,-0.041776,0.000486
28,-9.494899,,-2.449448,-0.489890,0.325976,1.000000,1.247811,0.752753,0.128868,0.071477,0.115850,0.020472,0.045387,-0.004491,0.065245,0.136546,0.105596,0.031438,-0.038176,-0.008792
29,-9.495163,,-2.581254,-0.516251,0.329968,1.000000,1.247811,0.752753,0.125413,0.061729,0.114709,0.017931,0.050763,0.000957,0.055128,0.128710,0.111525,0.026611,-0.051784,-0.005763
30,-9.495482,,-2.741238,-0.548248,0.328383,1.000000,1.247811,0.752753,0.127266,0.068563,0.113353,0.012996,0.054118,-0.001198,0.070555,0.134680,0.104504,0.024595,-0.040659,-0.002354
31,-9.495308,,-2.654219,-0.530844,0.314993,1.000000,1.247811,0.752753,0.127877,0.071758,0.111422,0.020607,0.051654,0.002010,0.066409,0.149830,0.104861,0.025946,-0.051852,-0.010251
32,-9.494680,,-2.339965,-0.467993,0.335878,1.000000,1.247811,0.752753,0.126044,0.071947,0.113470,0.012809,0.050346,-0.009625,0.073838,0.142421,0.105270,0.030515,-0.047870,-0.000442
33,-10.000000,,-0.752914,-0.150583,0.982513,0.000000,1.247811,0.752753,0.139048,0.076421,0.111032,0.025825,0.051234,-0.001905,0.071464,0.135576,0.118946,0.025095,-0.052409,0.008808
34,-10.000000,,-0.318613,-0.063723,2.604372,0.000000,1.247811,0.752753,0.119933,0.071033,0.101354,0.015470,0.055217,-0.010515,0.064161,0.132702,0.117873,0.026843,-0.044243,0.002918
35,-9.494485,,-2.242604,-0.448521,0.372817,1.000000,1.247811,0.752753,0.128412,0.064885,0.110161,0.023453,0.050520,-0.000175,0.070268,0.141469,0.111797,0.013051,-0.045194,0.003271
36,-10.000000,,-0.611198,-0.122240,2.377949,0.000000,1.247811,0.752753,0.129617,0.079316,0.118176,0.024320,0.051439,-0.006511,0.059818,0.142137,0.112377,0.031386,-0.054615,-0.005263
37,-10.000000,,-1.138095,-0.227619,1.313928,0.000000,1.247811,0.752753,0.133798,0.077705,0.097080,0.023727,0.050444,-0.009808,0.067509,0.148530,0.107270,0.028108,-0.050742,-0.006096
38,-9.494992,,-2.496159,-0.499232,0.342671,1.000000,1.247811,0.752753,0.135370,0.068371,0.106452,0.025675,0.044835,0.001799,0.072232,0.145596,0.104867,0.021774,-0.044101,-0.005173
39,-9.494909,,-2.454524,-0.490905,0.338398,1.000000,1.247811,0.752753,0.138397,0.072394,0.111362,0.020442,0.044209,0.000371,0.056574,0.133682,0.111358,0.015436,-0.044169,-0.002266
40,-10.000000,,-1.186025,-0.237205,1.443323,0.000000,1.247811,0.752753,0.129171,0.068421,0.105690,0.024235,0.043285,-0.008078,0.054130,0.132821,0.116017,0.026653,-0.050347,0.003935
41,-9.494734,,-2.366785,-0.473357,0.344417,1.000000,1.247811,0.752753,0.123770,0.073633,0.117550,0.021275,0.049772,-0.001990,0.060463,0.143865,0.109082,0.022111,-0.039970,-0.000945
42,-9.494578,,-2.289073,-0.457815,0.367554,1.000000,1.247811,0.752753,0.117027,0.067218,0.108692,0.026814,0.048386,-0.002582,0.061348,0.137622,0.108520,0.017940,-0.046627,-0.003677
