trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-3.197613,1.769663,0.554322,0.110864,0.125224,1.000000,1.400000,0.240000,0.132402,0.078685,0.091948,0.016074,0.031163,0.002602,0.053291,0.131619,0.101892,0.026619,-0.050133,-0.006051
2,-3.400370,2.622154,0.367875,0.073575,0.117807,1.000000,1.400000,0.240000,0.142776,0.075326,0.102485,0.017011,0.045793,-0.004066,0.065841,0.147730,0.095254,0.023563,-0.046880,0.000848
3,-3.353225,2.446075,0.374146,0.074829,0.094493,1.000000,1.400000,0.240000,0.124632,0.084525,0.102563,0.025260,0.055886,0.000827,0.060898,0.148465,0.101179,0.021393,-0.049479,0.005790
4,-4.853277,9.600394,0.104954,0.020991,0.132447,1.000000,1.400000,0.240000,0.141750,0.075704,0.095319,0.023976,0.049059,-0.000315,0.057321,0.153713,0.102316,0.019311,-0.053995,0.002162
5,-3.142290,1.518717,0.587037,0.117407,0.132102,1.000000,1.400000,0.240000,0.142470,0.077512,0.097469,0.005540,0.054267,-0.009397,0.075465,0.134460,0.094124,0.032581,-0.045921,0.006605
6,-2.914283,0.866311,0.979828,0.195966,0.094367,1.000000,1.400000,0.240000,0.135498,0.091356,0.100966,0.018725,0.055351,-0.013995,0.062483,0.141041,0.094455,0.027178,-0.049164,-0.003170
7,-40.185045,186.146034,0.005685,0.001137,0.115013,1.000000,1.400000,0.240000,0.151518,0.070454,0.090864,0.016920,0.047927,-0.001901,0.062360,0.144922,0.091713,0.018734,-0.050430,-0.001360
8,-9.490123,,-0.061701,-0.012340,0.129622,1.000000,1.400000,0.240000,0.134281,0.075255,0.099691,0.019697,0.060011,0.004247,0.059214,0.145769,0.098531,0.017875,-0.047352,0.000266
9,-3.013412,1.110151,0.708995,0.141799,0.079533,1.000000,1.400000,0.240000,0.131856,0.069549,0.093838,0.021905,0.051251,-0.005047,0.053386,0.136561,0.106457,0.022351,-0.044489,0.014175
10,-9.493371,,-1.685480,-0.337096,0.151012,1.000000,1.400000,0.240000,0.142489,0.064645,0.093016,0.020684,0.040017,0.014842,0.071823,0.143900,0.094941,0.013428,-0.044295,-0.005379
11,-9.491025,,-0.512320,-0.102464,0.128900,1.000000,1.400000,0.240000,0.138780,0.073991,0.099830,0.014797,0.052691,0.005484,0.061648,0.159456,0.106158,0.014182,-0.053552,-0.002177
12,-3.141468,1.525895,0.598944,0.119789,0.124841,1.000000,1.400000,0.240000,0.143855,0.081331,0.092099,0.010538,0.061082,-0.009519,0.072172,0.132963,0.095049,0.030073,-0.050097,-0.001629
13,-9.490484,,-0.242181,-0.048436,0.124567,1.000000,1.400000,0.240000,0.132655,0.089767,0.089241,0.027548,0.050816,0.004487,0.058108,0.136889,0.098080,0.021388,-0.054104,0.004340
14,-3.006045,1.059893,0.797039,0.159408,0.153163,1.000000,1.400000,0.240000,0.131856,0.077835,0.094387,0.009540,0.050787,-0.008578,0.058547,0.135320,0.099006,0.036326,-0.043838,0.000005
15,-9.492164,,-1.081896,-0.216379,0.137548,1.000000,1.400000,0.240000,0.130051,0.078755,0.100373,0.030136,0.054900,0.001100,0.069111,0.138145,0.111366,0.021197,-0.058594,0.006535
16,-3.202425,1.737062,0.440912,0.088182,0.091919,1.000000,1.400000,0.240000,0.122741,0.081369,0.098801,0.020368,0.048039,0.002791,0.059247,0.142537,0.097963,0.027536,-0.048665,0.002955
17,-3.148489,1.551829,0.537172,0.107434,0.122213,1.000000,1.400000,0.240000,0.133288,0.069787,0.100777,0.024058,0.046632,-0.016266,0.061679,0.145886,0.096322,0.030890,-0.045654,-0.004310
18,-9.491627,,-0.813381,-0.162676,0.139747,1.000000,1.400000,0.240000,0.112451,0.084056,0.096609,0.019697,0.040925,-0.016227,0.061642,0.149035,0.086518,0.022486,-0.046718,0.004005
19,-2.980251,1.024335,0.873375,0.174675,0.154981,1.000000,1.400000,0.240000,0.144280,0.077287,0.088172,0.025823,0.048497,-0.006709,0.068147,0.141723,0.102110,0.034425,-0.038339,-0.001280
20,-3.049474,1.191952,0.677922,0.135584,0.107792,1.000000,1.400000,0.240000,0.128445,0.073360,0.101474,0.016882,0.048554,-0.007139,0.064929,0.142179,0.109981,0.028980,-0.042070,-0.008057
21,-3.059146,1.264213,0.666927,0.133385,0.093408,1.000000,1.400000,0.240000,0.134335,0.079107,0.095987,0.030835,0.052535,-0.015572,0.061082,0.141717,0.110518,0.027002,-0.052913,-0.004613
22,-3.286847,2.120490,0.441378,0.088276,0.135116,1.000000,1.400000,0.240000,0.137938,0.083279,0.107851,0.021324,0.051683,-0.004041,0.072107,0.134423,0.092779,0.024946,-0.051186,-0.004607
23,-3.025188,1.175094,0.752988,0.150598,0.120691,1.000000,1.400000,0.240000,0.147548,0.080378,0.112098,0.020159,0.060319,-0.016928,0.050993,0.141903,0.091767,0.033649,-0.045318,0.010641
24,-3.031240,1.119074,0.698591,0.139718,0.126488,1.000000,1.400000,0.240000,0.135518,0.071764,0.089001,0.023350,0.044658,-0.010915,0.066446,0.141590,0.095280,0.035338,-0.043686,-0.005772
25,-3.088781,1.322105,0.637387,0.127477,0.138319,1.000000,1.400000,0.240000,0.126718,0.072989,0.086989,0.019286,0.045869,-0.010651,0.064826,0.139457,0.104777,0.028076,-0.040130,-0.012583
26,-2.943404,0.875064,0.888325,0.177665,0.133944,1.000000,1.400000,0.240000,0.135867,0.084918,0.085671,0.019382,0.054178,-0.009969,0.056575,0.132126,0.101616,0.038370,-0.035761,-0.001064
27,-2.979485,0.978174,0.838852,0.167770,0.165605,1.000000,1.400000,0.240000,0.138756,0.078837,0.083567,0.024884,0.057457,-0.012067,0.066087,0.139456,0.099564,0.039053,-0.041725,-0.004700
28,-3.006651,1.059753,0.761798,0.152360,0.140264,1.000000,1.400000,0.240000,0.121972,0.084651,0.091960,0.018195,0.043851,-0.012477,0.063657,0.152087,0.105901,0.033736,-0.047006,-0.008228
29,-3.059267,1.252233,0.723557,0.144711,0.134037,1.000000,1.400000,0.240000,0.144806,0.072576,0.093224,0.011004,0.037779,-0.005709,0.064764,0.142516,0.108722,0.037405,-0.036828,0.002232
30,-3.015964,1.074912,0.732135,0.146427,0.133139,1.000000,1.400000,0.240000,0.139537,0.075102,0.086862,0.018277,0.040742,-0.009325,0.064385,0.128035,0.100919,0.036650,-0.036655,-0.000668
31,-2.945813,0.873407,0.872886,0.174577,0.127854,1.000000,1.400000,0.240000,0.121318,0.094053,0.085731,0.021223,0.067001,-0.010599,0.065314,0.142452,0.106437,0.036352,-0.039522,-0.008241
