trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-10.000000,,-2.009562,-0.401912,0.320416,1.000000,1.180499,0.680921,0.129470,0.083152,0.105211,0.013212,0.053269,-0.010417,0.067128,0.152578,0.100266,0.032418,-0.036572,0.005674
2,-10.000000,,-0.464955,-0.092991,2.144998,0.000000,0.942973,0.581850,0.145230,0.075338,0.116423,0.010047,0.059609,-0.001145,0.060943,0.134374,0.102568,0.025432,-0.046814,-0.004765
3,-10.000000,,-1.678677,-0.335735,0.318450,1.000000,1.104593,0.728482,0.124856,0.085862,0.108939,0.008018,0.060930,0.010693,0.058305,0.150726,0.106732,0.031855,-0.045839,-0.019992
4,-10.000000,,-2.123329,-0.424666,0.271221,1.000000,1.455318,0.676399,0.126973,0.070479,0.114146,0.015270,0.053432,0.000266,0.054225,0.160396,0.091686,0.031132,-0.054020,-0.003465
5,-10.000000,,-0.060166,-0.012033,2.614899,0.000000,1.000892,0.753889,0.137883,0.066030,0.110153,0.005361,0.051036,-0.012711,0.061181,0.136095,0.105196,0.039683,-0.047165,0.002465
6,-10.000000,,-0.545355,-0.109071,2.385398,0.000000,1.288741,0.751723,0.151710,0.084282,0.103304,0.012356,0.045398,-0.009276,0.054981,0.142003,0.107318,0.021810,-0.052218,-0.003817
7,-10.000000,,-1.487210,-0.297442,0.321180,1.000000,1.317759,0.686117,0.142192,0.088697,0.108875,0.014097,0.036192,0.007618,0.061149,0.147590,0.108050,0.028756,-0.044847,-0.003489
8,-10.000000,,-0.605880,-0.121176,2.294836,0.000000,0.806375,0.757198,0.134903,0.073420,0.119709,0.007676,0.054306,-0.004149,0.057932,0.143371,0.094931,0.027716,-0.057790,-0.004890
9,-10.000000,,-2.182455,-0.436491,0.344418,1.000000,0.976910,0.727634,0.143111,0.071540,0.118783,0.024377,0.067301,0.003952,0.072001,0.142383,0.101768,0.025463,-0.032602,-0.005293
10,-10.000000,,-2.269378,-0.453876,0.322978,1.000000,1.126976,0.722357,0.134693,0.077944,0.106606,0.015173,0.045964,-0.001965,0.052809,0.141694,0.097798,0.023213,-0.048825,-0.001637
11,-10.000000,,-1.853232,-0.370646,0.326542,1.000000,0.961449,0.688918,0.130920,0.090042,0.106652,0.020090,0.055582,-0.005405,0.064335,0.152356,0.100076,0.014688,-0.045343,0.000910
