trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-10.000000,,-1.227221,-0.245444,0.285210,1.000000,1.238962,0.657102,0.131130,0.079552,0.107882,0.012409,0.055228,-0.005098,0.055340,0.152356,0.097503,0.032536,-0.030037,0.002432
2,-10.000000,,-1.607486,-0.321497,0.344282,1.000000,1.201088,0.734501,0.141883,0.070924,0.101931,0.013778,0.061434,0.004500,0.057919,0.136425,0.109226,0.029549,-0.045046,-0.010371
3,-10.000000,,-1.127215,-0.225443,0.311798,1.000000,1.260848,0.667206,0.135433,0.074227,0.115657,0.006773,0.050102,0.004420,0.063189,0.141455,0.109802,0.033172,-0.037059,0.005883
4,-10.000000,,-0.360559,-0.072112,2.437220,0.000000,1.117071,0.702701,0.140374,0.076396,0.100997,0.001626,0.058272,-0.005648,0.058428,0.145371,0.112987,0.018247,-0.045577,-0.005384
5,-10.000000,,-0.745675,-0.149135,0.367630,1.000000,0.986790,0.730722,0.140551,0.072454,0.103314,0.005844,0.051327,-0.011006,0.067003,0.153358,0.102136,0.020538,-0.039845,0.011318
6,-10.000000,,-0.169288,-0.033858,2.305964,0.000000,1.089958,0.673041,0.137011,0.073544,0.112691,0.011197,0.059368,0.003062,0.059437,0.145243,0.093299,0.030753,-0.037425,-0.000958
7,-10.000000,,-0.492400,-0.098480,2.464902,0.000000,1.124578,0.786241,0.139779,0.075929,0.111967,0.016380,0.055305,-0.007156,0.061209,0.144164,0.108226,0.027095,-0.056950,0.003238
8,-10.000000,,-1.220839,-0.244168,0.265678,1.000000,1.326323,0.611615,0.138816,0.087213,0.112224,0.001428,0.061177,0.001220,0.060842,0.140717,0.086807,0.030309,-0.038212,0.006082
9,-10.000000,,-1.229631,-0.245926,0.311470,1.000000,1.068481,0.667144,0.147772,0.085826,0.101180,0.003925,0.058436,-0.012496,0.059303,0.146886,0.100533,0.021434,-0.040670,-0.015054
10,-10.000000,,-1.941478,-0.388296,0.354669,1.000000,0.972707,0.728872,0.126793,0.084594,0.109497,0.009128,0.056956,-0.007426,0.068024,0.149121,0.113356,0.011620,-0.048568,-0.003090
11,-10.000000,,-0.034282,-0.006856,2.646189,0.000000,1.083328,0.611954,0.133086,0.076450,0.116326,0.002009,0.063423,-0.006444,0.068352,0.148545,0.102868,0.034998,-0.032414,-0.003815
