trial,reward,cot,distance,velocity,avg_tilt,survived,freq,duty_factor,front_x_fore,front_x_hind,front_z_top,front_z_bottom,front_rotation,front_skew,rear_x_fore,rear_x_hind,rear_z_top,rear_z_bottom,rear_rotation,rear_skew
1,-10.000000,,-0.718816,-0.143763,2.156291,0.000000,1.123970,0.790192,0.155923,0.087656,0.102578,0.013502,0.052707,0.003031,0.063572,0.143043,0.099526,0.024078,-0.047960,-0.006838
2,-10.000000,,-1.461879,-0.292376,0.762594,0.000000,1.169546,0.747590,0.146165,0.079510,0.106913,0.022497,0.045380,0.003775,0.065320,0.154561,0.102868,0.024391,-0.050055,-0.003465
3,-10.000000,1.878321,0.283215,0.056643,1.841707,0.000000,1.319967,0.541579,0.137409,0.085227,0.100879,0.020190,0.049915,-0.000402,0.067775,0.140783,0.097414,0.028803,-0.052744,0.002169
4,-10.000000,,-0.594874,-0.118975,2.489115,0.000000,1.268840,0.761320,0.154571,0.084686,0.103762,0.008441,0.049471,0.003206,0.070929,0.153820,0.102723,0.020261,-0.037847,-0.007710
5,-10.000000,,-0.252271,-0.050454,1.332744,0.000000,1.062601,0.798201,0.147629,0.085584,0.107951,0.020105,0.043235,0.008353,0.066784,0.136066,0.108611,0.027353,-0.045682,0.002115
6,-10.000000,6.031023,0.145888,0.029178,0.751957,0.000000,1.441549,0.577921,0.142255,0.077779,0.095272,0.014491,0.050167,0.002453,0.066136,0.164440,0.100443,0.014419,-0.037687,0.004608
7,-10.000000,,-0.304143,-0.060829,2.433325,0.000000,1.169667,0.677634,0.140909,0.093092,0.105628,0.011575,0.049982,-0.001026,0.071307,0.141647,0.104780,0.022953,-0.036359,0.002104
8,-10.000000,,-2.821073,-0.564215,0.275259,1.000000,1.181061,0.576553,0.140703,0.086633,0.095823,0.009796,0.043340,0.001304,0.077485,0.147412,0.092424,0.017205,-0.046902,-0.000749
9,-10.000000,,-0.559881,-0.111976,0.269795,1.000000,1.255941,0.517066,0.147919,0.090011,0.106431,0.013188,0.045337,0.007811,0.061187,0.143069,0.105396,0.026218,-0.041876,-0.014475
10,-10.000000,,-0.256439,-0.051288,2.206190,0.000000,1.407593,0.760781,0.155732,0.084190,0.100982,0.011315,0.036669,-0.001216,0.069637,0.159641,0.104152,0.016548,-0.045185,0.004377
11,-10.000000,,-0.756485,-0.151297,1.666680,0.000000,1.296243,0.671516,0.154913,0.090926,0.091472,0.014305,0.045577,0.003286,0.079988,0.154383,0.101181,0.027461,-0.044362,-0.007971
